Name,Type,GoodFor,Status
Cinnamon Ground,Spice,Oats, yogurt, fruit, sweet potato, baked goods,owned
Ginger Ground,Spice,Rice, soups, marinades, Asian dishes,owned
Turmeric,Spice,Rice, soups, eggs, roasted vegetables,owned
Cumin Ground,Spice,Lentils, beans, chicken, rice,owned
Smoked Paprika,Spice,Chicken, fish, eggs, roasted vegetables,owned
Garlic Powder,Spice,Chicken, fish, vegetables, grains,owned
Onion Powder,Spice,Soups, chicken, fish, grains,owned
Black Pepper,Spice,Everything — use sparingly,owned
Sea Salt,Seasoning,Everything — use sparingly,owned
Dried Thyme,Herb,Chicken, fish, soups, roasted vegetables,owned
Dried Oregano,Herb,Chicken, fish, beans, Mediterranean dishes,owned
Dried Basil,Herb,Tomato dishes, chicken, fish, grains,owned
Dried Dill,Herb,Fish, cucumber, yogurt dressings, eggs,owned
Dried Parsley,Herb,Garnish, fish, chicken, grain bowls,owned
Dried Rosemary,Herb,Chicken, sweet potato, roasted vegetables,owned
Chives Dried,Herb,Eggs, yogurt, potato, grain bowls,owned
Lemon Pepper,Blend,Fish, chicken, vegetables, grain bowls,owned
Italian Seasoning,Blend,Chicken, fish, pasta, roasted vegetables,owned
Everything Bagel Seasoning,Blend,Eggs, avocado toast, fish, grain bowls,owned
Furikake,Blend,Rice, fish, eggs, Asian grain bowls,owned
Miso Paste White,Paste,Soups, marinades, dressings, rice,owned
Soy Sauce Low Sodium,Sauce,Rice, fish, chicken, Asian dishes,owned
Rice Vinegar,Vinegar,Quick pickles, dressings, Asian dishes,owned
Apple Cider Vinegar,Vinegar,Dressings, quick pickles, morning tonic,owned
Vanilla Extract,Extract,Oats, yogurt, fruit dishes, baked goods,owned
Nutritional Yeast,Seasoning,Eggs, grain bowls, popcorn, pasta,owned
Coriander Ground,Spice,Lentils, chicken, rice, Middle Eastern dishes,owned
Cardamom Ground,Spice,Oats, yogurt, fruit, chai-spiced dishes,owned
Bay Leaves,Herb,Soups, stews, grains, lentils,owned
Sesame Oil,Oil,Asian dishes — use sparingly due to fat content,planned
